mode,model,constraint,rank,tau,PSTH_r,Brain_FID,trial_R2,rollout_R2
ar,lif,dale,,,0.001,10.570,0.307,-0.231
ar,lif,unconstrained,,,0.001,99.530,-3.965,-1.090
ar,lowBio,dale,1,2,-0.005,74.309,-2.743,-0.252
ar,lowBio,dale,1,5,-0.003,20.092,-0.142,-0.143
ar,lowBio,dale,2,2,0.001,55.988,-1.847,-0.174
ar,lowBio,dale,2,5,0.006,23.106,-0.286,-0.166
ar,lowBio,dale,3,2,0.002,52.088,-1.680,-0.537
ar,lowBio,dale,3,5,0.002,21.105,-0.194,-0.121
ar,lowBio,unconstrained,1,2,-0.001,13.916,0.154,-0.181
ar,lowBio,unconstrained,1,5,-0.003,43.522,-1.293,-1.298
ar,lowBio,unconstrained,2,2,-0.004,15.883,0.073,-0.073
ar,lowBio,unconstrained,2,5,-0.003,11.576,0.184,-0.513
ar,lowBio,unconstrained,3,2,-0.010,13.295,0.190,-0.134
ar,lowBio,unconstrained,3,5,-0.003,67.560,-2.425,-2.007
ar,lowRNN,dale,1,2,0.013,88.907,-3.444,0.035
ar,lowRNN,dale,1,5,0.024,100.741,-4.030,0.066
ar,lowRNN,dale,2,2,0.007,95.582,-3.772,0.052
ar,lowRNN,dale,2,5,0.020,93.607,-3.681,0.067
ar,lowRNN,dale,3,2,0.011,71.881,-2.588,0.104
ar,lowRNN,dale,3,5,-0.003,101.716,-4.076,0.057
ar,lowRNN,unconstrained,1,2,-0.007,82.957,-3.135,0.146
ar,lowRNN,unconstrained,1,5,-0.004,100.097,-3.987,0.099
ar,lowRNN,unconstrained,2,2,0.005,105.721,-4.267,0.160
ar,lowRNN,unconstrained,2,5,-0.012,101.349,-4.048,0.158
ar,lowRNN,unconstrained,3,2,-0.003,109.003,-4.428,0.139
ar,lowRNN,unconstrained,3,5,-0.005,106.955,-4.326,0.130
ar,rnn,dale,,,-0.005,81.227,-3.080,0.044
ar,rnn,unconstrained,,,-0.001,96.030,-3.796,-0.202
freerun,lif,dale,,,-0.002,6.923,0.501,
freerun,lif,unconstrained,,,-0.003,8.939,0.355,
freerun,lowBio,dale,1,2,-0.004,3.434,0.577,
freerun,lowBio,dale,1,5,-0.000,5.606,0.492,
freerun,lowBio,dale,2,2,0.005,2.786,0.630,
freerun,lowBio,dale,2,5,0.005,2.952,0.609,
freerun,lowBio,dale,3,2,0.006,3.505,0.584,
freerun,lowBio,dale,3,5,0.003,4.420,0.574,
freerun,lowBio,unconstrained,1,2,0.001,4.200,0.632,
freerun,lowBio,unconstrained,1,5,-0.011,4.762,0.598,
freerun,lowBio,unconstrained,2,2,-0.005,4.438,0.616,
freerun,lowBio,unconstrained,2,5,-0.006,6.473,0.473,
freerun,lowBio,unconstrained,3,2,-0.001,7.476,0.447,
freerun,lowBio,unconstrained,3,5,-0.004,28.521,-0.528,
freerun,lowRNN,dale,1,2,0.006,5.815,0.573,
freerun,lowRNN,dale,1,5,-0.004,7.519,0.477,
freerun,lowRNN,dale,2,2,-0.008,4.522,0.609,
freerun,lowRNN,dale,2,5,0.009,9.514,0.406,
freerun,lowRNN,dale,3,2,0.007,9.676,0.407,
freerun,lowRNN,dale,3,5,0.003,6.861,0.513,
freerun,lowRNN,unconstrained,1,2,0.012,7.129,0.515,
freerun,lowRNN,unconstrained,1,5,0.007,6.401,0.509,
freerun,lowRNN,unconstrained,2,2,0.001,8.131,0.478,
freerun,lowRNN,unconstrained,2,5,-0.005,7.983,0.465,
freerun,lowRNN,unconstrained,3,2,-0.005,10.186,0.386,
freerun,lowRNN,unconstrained,3,5,-0.019,6.991,0.483,
freerun,rnn,dale,,,0.011,14.714,0.165,
freerun,rnn,unconstrained,,,-0.011,8.411,0.458,
