mode,model,constraint,rank,tau,opto_intensity,perturbation,light,PSTH_r,Brain_FID,trial_R2
ar,lif,dale,,,0.01,baseline,,0.005,33.477,-1.000
ar,lif,dale,,,0.01,sham,,0.004,72.796,-2.699
ar,lif,dale,,,0.01,fast_pulses,1.3,0.009,111.050,-9.141
ar,lif,dale,,,0.01,fast_pulses,1.7,0.012,28.523,0.243
ar,lif,dale,,,0.01,fast_pulses,2.0,0.015,29.981,0.505
ar,lif,dale,,,0.01,pulse,1.3,0.005,65.695,-3.350
ar,lif,dale,,,0.01,pulse,1.7,0.007,38.223,-0.286
ar,lif,dale,,,0.01,pulse,2.0,0.006,38.368,-0.522
ar,lif,dale,,,0.01,raised_cosine,1.3,0.017,43.148,-1.893
ar,lif,dale,,,0.01,raised_cosine,1.7,0.036,78.015,-0.999
ar,lif,dale,,,0.01,raised_cosine,2.0,0.064,55.221,-0.459
ar,lif,dale,,,0.1,baseline,,-0.000,35.303,-1.093
ar,lif,dale,,,0.1,sham,,-0.003,69.157,-2.504
ar,lif,dale,,,0.1,fast_pulses,1.3,0.008,78.861,-6.357
ar,lif,dale,,,0.1,fast_pulses,1.7,0.070,32.029,0.166
ar,lif,dale,,,0.1,fast_pulses,2.0,0.094,76.050,-0.104
ar,lif,dale,,,0.1,pulse,1.3,0.021,66.503,-3.355
ar,lif,dale,,,0.1,pulse,1.7,0.030,49.832,-0.586
ar,lif,dale,,,0.1,pulse,2.0,0.025,50.489,-0.896
ar,lif,dale,,,0.1,raised_cosine,1.3,0.055,17.049,-0.365
ar,lif,dale,,,0.1,raised_cosine,1.7,0.079,41.841,-0.135
ar,lif,dale,,,0.1,raised_cosine,2.0,0.098,41.016,-0.114
ar,lif,dale,,,1.0,baseline,,-0.002,30.100,-0.834
ar,lif,dale,,,1.0,sham,,0.004,66.594,-2.404
ar,lif,dale,,,1.0,fast_pulses,1.3,0.006,54.017,-4.115
ar,lif,dale,,,1.0,fast_pulses,1.7,0.062,81.367,-0.775
ar,lif,dale,,,1.0,fast_pulses,2.0,0.087,110.422,-0.520
ar,lif,dale,,,1.0,pulse,1.3,0.020,103.458,-5.499
ar,lif,dale,,,1.0,pulse,1.7,0.027,70.673,-1.127
ar,lif,dale,,,1.0,pulse,2.0,0.033,73.239,-1.629
ar,lif,dale,,,1.0,raised_cosine,1.3,0.041,10.489,0.073
ar,lif,dale,,,1.0,raised_cosine,1.7,0.050,16.033,0.454
ar,lif,dale,,,1.0,raised_cosine,2.0,0.070,19.953,0.379
ar,lif,unconstrained,,,0.01,baseline,,-0.002,109.621,-4.546
ar,lif,unconstrained,,,0.01,sham,,0.000,95.127,-3.341
ar,lif,unconstrained,,,0.01,fast_pulses,1.3,0.002,58.110,-4.066
ar,lif,unconstrained,,,0.01,fast_pulses,1.7,0.002,218.280,-3.339
ar,lif,unconstrained,,,0.01,fast_pulses,2.0,-0.003,306.950,-2.970
ar,lif,unconstrained,,,0.01,pulse,1.3,-0.000,100.403,-4.853
ar,lif,unconstrained,,,0.01,pulse,1.7,0.000,171.581,-3.547
ar,lif,unconstrained,,,0.01,pulse,2.0,0.001,155.775,-4.011
ar,lif,unconstrained,,,0.01,raised_cosine,1.3,0.000,137.024,-6.927
ar,lif,unconstrained,,,0.01,raised_cosine,1.7,0.000,180.560,-3.224
ar,lif,unconstrained,,,0.01,raised_cosine,2.0,-0.002,197.366,-3.676
ar,lif,unconstrained,,,0.1,baseline,,-0.003,109.758,-4.553
ar,lif,unconstrained,,,0.1,sham,,-0.000,95.218,-3.347
ar,lif,unconstrained,,,0.1,fast_pulses,1.3,0.002,58.010,-4.065
ar,lif,unconstrained,,,0.1,fast_pulses,1.7,-0.003,218.395,-3.341
ar,lif,unconstrained,,,0.1,fast_pulses,2.0,-0.003,306.883,-2.969
ar,lif,unconstrained,,,0.1,pulse,1.3,-0.004,101.189,-4.896
ar,lif,unconstrained,,,0.1,pulse,1.7,-0.002,171.307,-3.541
ar,lif,unconstrained,,,0.1,pulse,2.0,0.002,156.399,-4.030
ar,lif,unconstrained,,,0.1,raised_cosine,1.3,0.001,137.400,-6.949
ar,lif,unconstrained,,,0.1,raised_cosine,1.7,0.003,178.279,-3.171
ar,lif,unconstrained,,,0.1,raised_cosine,2.0,0.002,193.571,-3.587
ar,lif,unconstrained,,,1.0,baseline,,0.000,109.745,-4.552
ar,lif,unconstrained,,,1.0,sham,,0.002,95.538,-3.360
ar,lif,unconstrained,,,1.0,fast_pulses,1.3,-0.003,56.365,-3.922
ar,lif,unconstrained,,,1.0,fast_pulses,1.7,0.003,210.465,-3.185
ar,lif,unconstrained,,,1.0,fast_pulses,2.0,0.002,293.927,-2.803
ar,lif,unconstrained,,,1.0,pulse,1.3,0.002,100.309,-4.846
ar,lif,unconstrained,,,1.0,pulse,1.7,-0.000,169.698,-3.499
ar,lif,unconstrained,,,1.0,pulse,2.0,-0.001,153.809,-3.949
ar,lif,unconstrained,,,1.0,raised_cosine,1.3,-0.000,117.701,-5.819
ar,lif,unconstrained,,,1.0,raised_cosine,1.7,0.007,152.936,-2.585
ar,lif,unconstrained,,,1.0,raised_cosine,2.0,0.012,157.229,-2.733
ar,lowBio,dale,1,2,0.01,baseline,,-0.001,65.697,-2.398
ar,lowBio,dale,1,2,0.01,sham,,-0.000,48.280,-1.298
ar,lowBio,dale,1,2,0.01,fast_pulses,1.3,-0.003,25.361,-1.329
ar,lowBio,dale,1,2,0.01,fast_pulses,1.7,-0.004,145.300,-1.930
ar,lowBio,dale,1,2,0.01,fast_pulses,2.0,-0.003,209.630,-1.738
ar,lowBio,dale,1,2,0.01,pulse,1.3,0.003,54.336,-2.293
ar,lowBio,dale,1,2,0.01,pulse,1.7,-0.002,103.269,-1.795
ar,lowBio,dale,1,2,0.01,pulse,2.0,-0.000,92.922,-2.052
ar,lowBio,dale,1,2,0.01,raised_cosine,1.3,0.004,84.691,-4.000
ar,lowBio,dale,1,2,0.01,raised_cosine,1.7,0.005,126.627,-2.003
ar,lowBio,dale,1,2,0.01,raised_cosine,2.0,-0.001,139.212,-2.331
ar,lowBio,dale,1,2,0.1,baseline,,0.002,65.810,-2.403
ar,lowBio,dale,1,2,0.1,sham,,-0.001,48.497,-1.305
ar,lowBio,dale,1,2,0.1,fast_pulses,1.3,0.005,24.364,-1.270
ar,lowBio,dale,1,2,0.1,fast_pulses,1.7,-0.003,140.009,-1.833
ar,lowBio,dale,1,2,0.1,fast_pulses,2.0,0.003,199.768,-1.607
ar,lowBio,dale,1,2,0.1,pulse,1.3,0.002,53.015,-2.216
